customer_id,Segment
760,Loyal Customers
761,At Risk
762,New Customers
763,Potential Loyalist
764,New Customers
765,Loyal Customers
766,Potential Loyalist
767,Potential Loyalist
768,Loyal Customers
769,Loyal Customers
770,Potential Loyalist
771,Potential Loyalist
772,Potential Loyalist
773,Loyal Customers
774,At Risk
775,Potential Loyalist
776,Loyal Customers
777,Potential Loyalist
778,At Risk
779,New Customers
780,New Customers
781,At Risk
782,Potential Loyalist
783,Potential Loyalist
784,At Risk
785,New Customers
786,Potential Loyalist
787,Loyal Customers
788,Potential Loyalist
789,Potential Loyalist
790,Loyal Customers
791,Potential Loyalist
792,Potential Loyalist
793,Loyal Customers
794,Potential Loyalist
795,Potential Loyalist
796,Potential Loyalist
797,New Customers
798,New Customers
799,Loyal Customers
800,Potential Loyalist
801,At Risk
802,Potential Loyalist
803,New Customers
804,New Customers
805,Potential Loyalist
806,New Customers
807,New Customers
808,At Risk
809,New Customers
810,New Customers
811,At Risk
812,At Risk
813,New Customers
814,New Customers
815,Potential Loyalist
816,New Customers
817,New Customers
818,Potential Loyalist
819,New Customers
820,Loyal Customers
821,New Customers
822,At Risk
823,Potential Loyalist
824,New Customers
825,Potential Loyalist
826,New Customers
827,Loyal Customers
828,New Customers
829,Potential Loyalist
830,At Risk
831,New Customers
832,Loyal Customers
833,Loyal Customers
834,New Customers
835,Loyal Customers
836,New Customers
837,At Risk
838,New Customers
839,New Customers
840,Potential Loyalist
841,Potential Loyalist
842,New Customers
843,New Customers
844,Loyal Customers
845,New Customers
846,New Customers
847,At Risk
848,At Risk
849,Potential Loyalist
850,Potential Loyalist
851,New Customers
853,Loyal Customers
854,New Customers
855,Potential Loyalist
856,Potential Loyalist
857,Potential Loyalist
858,Potential Loyalist
859,Potential Loyalist
860,Potential Loyalist
861,New Customers
862,New Customers
863,New Customers
864,Potential Loyalist
865,Potential Loyalist
866,Potential Loyalist
867,At Risk
868,Potential Loyalist
870,Potential Loyalist
871,Potential Loyalist
872,At Risk
873,New Customers
874,Potential Loyalist
875,Potential Loyalist
876,New Customers
877,Loyal Customers
878,New Customers
879,New Customers
880,New Customers
881,At Risk
882,Potential Loyalist
883,New Customers
884,Potential Loyalist
885,New Customers
886,Potential Loyalist
887,Loyal Customers
888,Potential Loyalist
889,New Customers
890,At Risk
891,Potential Loyalist
892,Loyal Customers
893,Potential Loyalist
894,Potential Loyalist
895,New Customers
896,New Customers
897,Potential Loyalist
898,At Risk
899,New Customers
900,New Customers
901,Potential Loyalist
902,Loyal Customers
903,Loyal Customers
904,New Customers
905,Potential Loyalist
906,Loyal Customers
907,Potential Loyalist
908,Potential Loyalist
909,At Risk
910,At Risk
911,New Customers
912,Potential Loyalist
913,At Risk
914,Potential Loyalist
915,New Customers
916,New Customers
917,Potential Loyalist
918,New Customers
919,Loyal Customers
920,Potential Loyalist
921,Loyal Customers
922,At Risk
923,Potential Loyalist
924,Loyal Customers
925,Loyal Customers
926,Potential Loyalist
927,At Risk
928,Potential Loyalist
929,New Customers
930,New Customers
931,Potential Loyalist
932,Potential Loyalist
933,Potential Loyalist
934,Loyal Customers
935,Potential Loyalist
936,Loyal Customers
937,New Customers
938,Potential Loyalist
939,New Customers
940,Potential Loyalist
941,Loyal Customers
942,At Risk
943,Potential Loyalist
944,Potential Loyalist
945,Potential Loyalist
946,Loyal Customers
947,New Customers
948,New Customers
949,Potential Loyalist
950,Potential Loyalist
951,Potential Loyalist
952,Potential Loyalist
953,Loyal Customers
954,At Risk
955,Potential Loyalist
956,At Risk
957,New Customers
958,Potential Loyalist
959,Potential Loyalist
960,New Customers
961,New Customers
962,Potential Loyalist
963,Loyal Customers
964,New Customers
965,New Customers
966,New Customers
967,New Customers
968,Potential Loyalist
969,Potential Loyalist
970,Potential Loyalist
971,Potential Loyalist
972,At Risk
973,Loyal Customers
974,Potential Loyalist
975,Loyal Customers
976,At Risk
977,New Customers
978,At Risk
979,Potential Loyalist
980,At Risk
981,Potential Loyalist
982,New Customers
983,Loyal Customers
984,Potential Loyalist
985,New Customers
986,Potential Loyalist
987,Loyal Customers
988,At Risk
989,Potential Loyalist
990,Potential Loyalist
991,Potential Loyalist
992,New Customers
993,Loyal Customers
994,New Customers
995,Potential Loyalist
996,Potential Loyalist
997,Potential Loyalist
998,At Risk
999,Loyal Customers
1000,Loyal Customers
1001,Potential Loyalist
1002,At Risk
1003,Loyal Customers
1004,At Risk
1005,At Risk
1006,Loyal Customers
1007,Potential Loyalist
1008,New Customers
1009,Potential Loyalist
1010,At Risk
